current_week_value,update_dt,source,last_week_value,datadate,product_name
54.6,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,54.6,2017-11-17,总和
5.9,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,6.4,2017-09-08,宁波
4.2,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,5,2017-09-08,上海及嘉兴
35.8,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,37.8,2017-09-08,张家港
5.9,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,8.8,2017-09-08,太仓及常熟
4.0,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,3.9,2017-09-08,江阴及常州
55.8,2018-06-07 15:35:08,http://www.ccf.com.cn/newscenter/detail-160000-2017090800354.shtml,61.9,2017-09-08,总和
4.9,2018-06-07 15:35:11,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,6.7,2017-07-21,宁波
2.7,2018-06-07 15:35:11,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,3.1,2017-07-21,上海及嘉兴
30.8,2018-06-07 15:35:11,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,32.1,2017-07-21,张家港
8,2018-06-07 15:35:12,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,8.1,2017-07-21,太仓及常熟
3.8,2018-06-07 15:35:12,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,3.7,2017-07-21,江阴及常州
50.2,2018-06-07 15:35:12,http://www.ccf.com.cn/newscenter/detail-160000-2017072100391.shtml,53.7,2017-07-21,总和
6.4,2018-06-07 15:45:02,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,6.5,2017-01-06,宁波
2.2,2018-06-07 15:45:02,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,3.7,2017-01-06,上海及嘉兴
27.6,2018-06-07 15:45:02,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,28.7,2017-01-06,张家港
8.2,2018-06-07 15:45:03,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,8.1,2017-01-06,太仓及常熟
5.2,2018-06-07 15:45:03,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,4.9,2017-01-06,江阴及常州
49.6,2018-06-07 15:45:03,http://www.ccf.com.cn/newscenter/detail-160000-2017010500305.shtml,51.9,2017-01-06,总和
6.2,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,6.4,2017-01-13,宁波
1.0,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,2.2,2017-01-13,上海及嘉兴
26,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,27.6,2017-01-13,张家港
7.1,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,8.2,2017-01-13,太仓及常熟
4.7,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,5.2,2017-01-13,江阴及常州
45,2018-06-07 15:45:06,http://www.ccf.com.cn/newscenter/detail-160000-2017011300031.shtml,49.6,2017-01-13,总和
6.1,2018-06-07 15:45:10,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,6.2,2017-01-20,宁波
3.1,2018-06-07 15:45:10,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,1.0,2017-01-20,上海及嘉兴
26.6,2018-06-07 15:45:10,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,26,2017-01-20,张家港
8.1,2018-06-07 15:45:11,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,7.1,2017-01-20,太仓及常熟
4.2,2018-06-07 15:45:11,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,4.7,2017-01-20,江阴及常州
48.1,2018-06-07 15:45:11,http://www.ccf.com.cn/newscenter/detail-160000-2017012000385.shtml,45,2017-01-20,总和
9.5,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,10.5,2017-02-10,宁波
2.9,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,2.5,2017-02-10,上海及嘉兴
28.7,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,27.8,2017-02-10,张家港
12.6,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,12.4,2017-02-10,太仓及常熟
4.7,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,4.7,2017-02-10,江阴及常州
58.4,2018-06-07 15:45:13,http://www.ccf.com.cn/newscenter/detail-160000-2017021000473.shtml,57.9,2017-02-10,总和
8.8,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,9.5,2017-02-17,宁波
4.1,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,2.9,2017-02-17,上海及嘉兴
31.6,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,28.7,2017-02-17,张家港
10.6,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,12.6,2017-02-17,太仓及常熟
4.7,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,4.7,2017-02-17,江阴及常州
59.8,2018-06-07 15:45:18,http://www.ccf.com.cn/newscenter/detail-160000-2017021700100.shtml,58.4,2017-02-17,总和
7.8,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,8.8,2017-02-24,宁波
